 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
2.099805,-0.242188,0,-398.660501,155.561599,-2.8699278,0,-1195.981503,466.684797
2.110147,-0.242188,0,-398.978615,-31.811403,-2.8699278,0,-1196.935845,-95.434209
2.119785,-0.265625,-2.34375,-404.138377,-515.976223,-3.14765625,-27.7734375,-1212.415131,-1547.928669
2.130739,-0.265625,0,-398.763832,537.454486,-3.14765625,0,-1196.291496,1612.363458
2.139787,-0.265625,0,-413.710361,-1494.652926,-3.14765625,0,-1241.131083,-4483.958778
2.149806,-0.265625,0,-425.25143,-1154.106853,-3.14765625,0,-1275.75429,-3462.320559
2.1599,-0.265625,0,-430.496362,-524.49324,-3.14765625,0,-1291.489086,-1573.47972
2.17001,-0.265625,0,-431.86284,-136.647806,-3.14765625,0,-1295.58852,-409.943418
2.179763,-0.265625,0,-432.572726,-70.988593,-3.14765625,0,-1297.718178,-212.965779
2.189812,-0.265625,0,-434.008941,-143.621429,-3.14765625,0,-1302.026823,-430.864287
2.199789,-0.265625,0,-441.053235,-704.429454,-3.14765625,0,-1323.159705,-2113.288362
2.210063,-0.265625,0,-447.988531,-693.529637,-3.14765625,0,-1343.965593,-2080.588911
2.219781,-0.265625,0,-433.022279,1496.62525,-3.14765625,0,-1299.066837,4489.87575
2.230001,-0.265625,0,-429.516365,350.591442,-3.14765625,0,-1288.549095,1051.774326
2.23981,-0.265625,0,-428.752117,76.424761,-3.14765625,0,-1286.256351,229.274283
2.250218,-0.265625,0,-435.976806,-722.468907,-3.14765625,0,-1307.930418,-2167.406721
2.259789,-0.265625,0,-441.618089,-564.128264,-3.14765625,0,-1324.854267,-1692.384792
2.270235,-0.265625,0,-431.043772,1057.431618,-3.14765625,0,-1293.131316,3172.294854
2.279794,-0.265625,0,-443.468813,-1242.504056,-3.14765625,0,-1330.406439,-3727.512168
2.290457,-0.265625,0,-437.110698,635.811477,-3.14765625,0,-1311.332094,1907.434431
2.299797,-0.304688,-3.90625,-427.505718,960.49804,-3.6105528,-46.2890625,-1282.517154,2881.49412
2.310471,-0.304688,0,-440.674232,-1316.851369,-3.6105528,0,-1322.022696,-3950.554107
2.319785,-0.359375,-5.46875,-451.294086,-1061.985422,-4.25859375,-64.8046875,-1353.882258,-3185.956266
2.330069,-0.359375,0,-471.475719,-2018.163321,-4.25859375,0,-1414.427157,-6054.489963
2.339786,-0.460938,-10.15625,-519.116464,-4764.074478,-5.4621153,-120.3515625,-1557.349392,-14292.223434
2.349825,-0.460938,0,-558.066856,-3895.039263,-5.4621153,0,-1674.200568,-11685.117789
2.359821,-0.523438,-6.25,-632.751202,-7468.434582,-6.2027403,-74.0625,-1898.253606,-22405.303746
2.369958,-0.523438,0,-684.908051,-5215.684887,-6.2027403,0,-2054.724153,-15647.054661
2.379772,-0.445313,7.8125,-739.316871,-5440.882012,-5.27695905,92.578125,-2217.950613,-16322.646036
2.39034,-0.445313,0,-764.49677,-2517.989879,-5.27695905,0,-2293.49031,-7553.969637
2.399795,-0.398438,4.6875,-763.679407,81.736262,-4.7214903,55.546875,-2291.038221,245.208786
2.410921,-0.398438,0,-727.219839,3645.956883,-4.7214903,0,-2181.659517,10937.870649
2.419791,-0.359375,3.90625,-718.365001,885.48373,-4.25859375,46.2890625,-2155.095003,2656.45119
2.429946,-0.359375,0,-716.512019,185.298177,-4.25859375,0,-2149.536057,555.894531
